순번,영화명,개봉일,전국,전국,전국,장르,등급
,,,스크린수,매출액,관객수,,
70,돈,2019-03-20,"1,431","28,869,614,062","3,389,035",범죄,15세이상관람가
25,내부자들,2015-11-19,"1,075","56,596,582,057","7,071,763",범죄,청소년관람불가
72,시동,2019-12-18,"1,515","28,098,934,360","3,317,038",드라마,15세이상관람가
73,아이 캔 스피크,2017-09-21,"1,140","25,532,214,986","3,280,243",코미디,12세이상관람가
74,마녀,2018-06-27,"1,117","27,242,029,463","3,189,091",미스터리,15세이상관람가
76,탐정: 리턴즈,2018-06-13,"1,041","26,865,721,678","3,148,038",코미디,15세이상관람가
77,감기,2013-08-14,806,"21,784,202,000","3,119,023",드라마,15세이상관람가
78,스물,2015-03-25,926,"23,558,988,686","3,044,134",코미디,15세이상관람가
79,형,2016-11-23,993,"23,113,768,293","2,979,659",코미디,12세이상관람가
82,프리즌,2017-03-23,"1,047","23,790,276,987","2,931,897",범죄,청소년관람불가
81,공조,2017-01-18,976,"23,918,185,757","2,957,330",액션,15세이상관람가
159,브이아이피,2017-08-23,996,"10,956,621,835","1,373,316",범죄,청소년관람불가
83,가장 보통의 연애,2019-10-02,"1,073","24,822,316,930","2,917,213",멜로/로맨스,15세이상관람가
84,극비수사,2015-06-18,894,"22,389,535,897","2,860,786",드라마,15세이상관람가
85,표적,2014-04-30,665,"22,256,359,300","2,841,788",액션,15세이상관람가
86,너의 결혼식,2018-08-22,962,"23,670,604,369","2,820,029",멜로/로맨스,12세이상관람가
87,말모이,2019-01-09,"1,203","23,682,638,520","2,812,444",드라마,12세이상관람가
88,곤지암,2018-03-28,"1,124","21,442,114,144","2,675,559",공포(호러),15세이상관람가
89,소원,2013-10-02,641,"18,251,983,100","2,663,170",드라마,12세이상관람가
90,살인자의 기억법,2017-09-06,"1,064","21,361,479,492","2,656,694",범죄,15세이상관람가
91,탐정 : 더 비기닝,2015-09-24,764,"20,463,956,973","2,625,686",코미디,15세이상관람가
92,지금 만나러 갑니다,2018-03-14,"1,163","20,800,916,128","2,602,273",멜로/로맨스,12세이상관람가
243,지푸라기라도 잡고 싶은 짐승들,2020-02-19,996,"5,442,138,750","626,815",스릴러,청소년관람불가
94,보안관,2017-05-03,"1,091","20,697,532,509","2,571,491",범죄,15세이상관람가
95,기술자들,2014-12-24,641,"19,894,297,783","2,564,340",범죄,15세이상관람가
96,목격자,2018-08-15,"1,021","21,732,042,597","2,524,086",스릴러,15세이상관람가
97,증인,2019-02-13,"1,047","20,312,348,931","2,516,128",드라마,12세이상관람가
98,조작된 도시,2017-02-09,"1,019","20,119,979,587","2,512,572",범죄,15세이상관람가
99,블랙머니,2019-11-13,"1,117","20,747,796,510","2,465,678",범죄,12세이상관람가
100,조선명탐정: 흡혈괴마의 비밀,2018-02-08,"1,249","19,690,818,764","2,424,330",사극,12세이상관람가
101,재심,2017-02-15,935,"19,263,100,637","2,420,729",드라마,15세이상관람가
102,히트맨,2020-01-22,"1,122","20,614,278,000","2,406,232",코미디,15세이상관람가
103,사바하,2019-02-20,"1,174","20,002,183,194","2,397,792",미스터리,15세이상관람가
178,바람 바람 바람,2018-04-05,985,"9,702,206,675","1,183,959",코미디,청소년관람불가
105,박열,2017-06-28,"1,176","18,093,543,795","2,359,174",드라마,12세이상관람가
274,리얼,2017-06-28,970,"3,357,312,530","470,105",액션,청소년관람불가
107,악의 연대기,2015-05-14,776,"17,360,123,332","2,192,243",스릴러,15세이상관람가
80,친구 2,2013-11-14,968,"21,804,687,513","2,971,475",액션,청소년관람불가
109,신의 한 수: 귀수편,2019-11-07,"1,246","18,390,955,050","2,146,764",범죄,15세이상관람가
110,나의 사랑 나의 신부,2014-10-08,629,"16,592,056,305","2,135,614",멜로/로맨스,15세이상관람가
111,굿바이 싱글,2016-06-29,841,"16,912,706,195","2,108,273",코미디,15세이상관람가
112,몽타주,2013-05-16,540,"15,000,722,500","2,095,375",스릴러,15세이상관람가
113,명당,2018-09-19,"1,117","17,900,775,524","2,087,474",사극,12세이상관람가
56,타짜-신의 손,2014-09-03,890,"32,267,244,827","4,001,813",드라마,청소년관람불가
115,뷰티 인사이드,2015-08-20,648,"16,152,717,131","2,053,947",판타지,12세이상관람가
116,봉이 김선달,2016-07-06,942,"16,172,133,642","2,044,564",사극,12세이상관람가
117,천문: 하늘에 묻는다,2019-12-26,"1,198","16,502,543,020","2,000,490",사극,12세이상관람가
118,남자가 사랑할 때,2014-01-22,531,"14,510,222,300","1,979,311",멜로/로맨스,15세이상관람가
119,협상,2018-09-19,919,"17,032,133,166","1,967,721",범죄,15세이상관람가
120,#살아있다,2020-06-24,"1,882","15,965,582,900","1,903,727",드라마,15세이상관람가
121,내안의 그놈,2019-01-09,"1,041","16,293,580,567","1,901,684",판타지,15세이상관람가
122,오늘의 연애,2015-01-14,709,"14,924,654,487","1,891,993",멜로/로맨스,15세이상관람가
224,상류사회,2018-08-29,867,"6,313,416,163","768,442",드라마,청소년관람불가
206,불한당: 나쁜 놈들의 세상,2017-05-17,860,"7,654,331,125","951,797",범죄,청소년관람불가
125,노무현입니다,2017-05-25,775,"14,554,935,612","1,854,867",다큐멘터리,12세이상관람가
126,집으로 가는 길,2013-12-11,740,"13,048,519,745","1,854,625",드라마,15세이상관람가
127,뺑반,2019-01-30,"1,285","15,222,811,848","1,826,714",범죄,15세이상관람가
128,변신,2019-08-21,975,"15,417,922,925","1,804,112",공포(호러),15세이상관람가
129,강철비2: 정상회담,2020-07-29,"2,138","14,656,434,610","1,790,972",드라마,15세이상관람가
130,공범,2013-10-24,611,"12,333,110,882","1,766,285",스릴러,15세이상관람가
131,대호,2015-12-16,892,"13,489,904,632","1,762,742",사극,12세이상관람가
108,강남 1970,2015-01-21,841,"17,717,971,499","2,192,172",액션,청소년관람불가
133,제보자,2014-10-02,676,"13,371,522,302","1,735,640",드라마,12세이상관람가
134,파파로티,2013-03-14,552,"11,808,286,000","1,713,891",드라마,15세이상관람가
135,쎄시봉,2015-02-05,829,"13,509,581,911","1,707,487",멜로/로맨스,15세이상관람가
136,피끓는 청춘,2014-01-22,679,"11,688,382,888","1,676,040",코미디,15세이상관람가
137,PMC: 더 벙커,2018-12-26,"1,081","14,024,838,424","1,671,548",액션,15세이상관람가
138,임금님의 사건수첩,2017-04-26,"1,054","12,648,793,723","1,634,403",코미디,12세이상관람가
139,걸캅스,2019-05-09,973,"13,772,604,134","1,625,037",코미디,15세이상관람가
140,우아한 거짓말,2014-03-13,555,"11,694,011,300","1,613,392",드라마,12세이상관람가
141,두근두근 내 인생,2014-09-03,629,"12,191,623,034","1,611,519",드라마,12세이상관람가
142,사자,2019-07-31,"1,405","12,917,306,145","1,609,737",미스터리,15세이상관람가
143,창궐,2018-10-25,"1,351","13,275,772,490","1,599,290",사극,15세이상관람가
144,더 폰,2015-10-22,794,"12,309,164,568","1,593,694",스릴러,15세이상관람가
145,성난황소,2018-11-22,"1,010","13,236,490,737","1,593,386",범죄,15세이상관람가
146,도어락,2018-12-05,954,"12,694,612,486","1,545,442",스릴러,15세이상관람가
147,정직한 후보,2020-02-12,"1,187","12,765,456,530","1,525,718",코미디,12세이상관람가
148,리틀 포레스트,2018-02-28,884,"11,924,818,185","1,505,560",드라마,전체관람가
114,내부자들: 디 오리지널,2015-12-31,838,"16,973,885,275","2,083,999",범죄,청소년관람불가
150,스윙키즈,2018-12-19,984,"12,077,312,892","1,470,753",드라마,12세이상관람가
151,부라더,2017-11-02,889,"11,590,908,298","1,468,301",코미디,12세이상관람가
323,악질경찰,2019-03-20,833,"2,256,615,278","262,233",범죄,청소년관람불가
104,화이: 괴물을 삼킨 아이,2013-10-09,817,"17,678,676,795","2,391,963",액션,청소년관람불가
154,나의 특별한 형제,2019-05-01,936,"11,835,049,574","1,441,813",드라마,12세이상관람가
155,탐정 홍길동: 사라진 마을,2016-05-04,764,"11,483,686,845","1,426,873",드라마,15세이상관람가
156,런닝맨,2013-04-04,567,"10,011,200,500","1,416,053",액션,15세이상관람가
157,기억의 밤,2017-11-29,751,"10,652,346,660","1,387,599",미스터리,15세이상관람가
158,골든슬럼버,2018-02-14,833,"11,412,768,798","1,387,508",범죄,15세이상관람가
66,신의 한 수,2014-07-03,794,"28,777,712,256","3,562,123",범죄,청소년관람불가
160,특별시민,2017-04-26,"1,154","10,494,768,945","1,362,634",드라마,15세이상관람가
161,궁합,2018-02-28,966,"10,478,875,438","1,340,117",코미디,12세이상관람가
162,미스터 고,2013-07-17,840,"9,337,990,000","1,328,890",코미디,12세이상관람가
163,사라진 밤,2018-03-07,925,"10,686,397,316","1,314,274",스릴러,15세이상관람가
164,장산범,2017-08-17,711,"10,332,117,083","1,305,145",미스터리,15세이상관람가
165,클로젯,2020-02-05,"1,197","10,920,792,280","1,264,970",미스터리,15세이상관람가
166,유열의 음악앨범,2019-08-28,"1,078","10,233,455,040","1,245,532",멜로/로맨스,12세이상관람가
167,오케이 마담,2020-08-12,"1,288","10,979,902,910","1,228,687",코미디,15세이상관람가
168,특별수사: 사형수의 편지,2016-06-16,691,"9,792,082,065","1,225,142",범죄,15세이상관람가
169,찌라시: 위험한 소문,2014-02-20,560,"9,111,648,087","1,221,420",범죄,15세이상관람가
170,결혼전야,2013-11-21,524,"8,431,504,719","1,212,270",멜로/로맨스,15세이상관람가
171,해치지않아,2020-01-15,"1,216","10,154,099,090","1,209,689",코미디,12세이상관람가
256,버닝,2018-05-17,739,"4,714,345,098","528,153",미스터리,청소년관람불가
173,깡철이,2013-10-02,707,"8,534,777,462","1,204,666",드라마,15세이상관람가
174,시간이탈자,2016-04-13,733,"9,729,882,195","1,202,058",스릴러,15세이상관람가
175,해빙,2017-03-01,915,"9,879,737,822","1,201,576",스릴러,15세이상관람가
176,더 웹툰: 예고살인,2013-06-27,541,"8,534,322,070","1,201,033",공포(호러),15세이상관람가
177,생일,2019-04-03,862,"9,786,575,840","1,186,283",드라마,전체관람가
132,전설의 주먹,2013-04-10,724,"12,732,236,500","1,737,253",드라마,청소년관람불가
179,빅매치,2014-11-27,627,"8,952,096,578","1,177,438",액션,15세이상관람가
180,"힘을 내요, 미스터 리",2019-09-11,990,"9,887,863,906","1,176,076",코미디,12세이상관람가
181,동주,2016-02-17,499,"8,864,695,589","1,168,427",드라마,12세이상관람가
182,장수상회,2015-04-09,688,"8,707,389,643","1,160,935",멜로/로맨스,12세이상관람가
183,슬로우 비디오,2014-10-02,618,"8,840,530,219","1,159,787",드라마,12세이상관람가
184,미씽: 사라진 여자,2016-11-30,790,"8,881,616,256","1,153,109",미스터리,15세이상관람가
185,퍼펙트맨,2019-10-02,894,"9,604,139,750","1,144,894",코미디,15세이상관람가
186,장사리 : 잊혀진 영웅들,2019-09-25,"1,090","8,997,921,050","1,140,876",전쟁,12세이상관람가
187,고령화 가족,2013-05-09,583,"8,159,482,153","1,139,250",드라마,15세이상관람가
188,하루,2017-06-15,781,"9,068,009,842","1,129,018",스릴러,15세이상관람가
189,챔피언,2018-05-01,874,"9,441,064,230","1,125,319",드라마,12세이상관람가
190,성난 변호사,2015-10-08,607,"8,697,174,039","1,124,918",범죄,15세이상관람가
191,"당신, 거기 있어줄래요",2016-12-14,767,"8,999,085,248","1,124,815",판타지,12세이상관람가
192,간신,2015-05-21,697,"8,946,842,910","1,110,246",사극,청소년관람불가
193,롱 리브 더 킹: 목포 영웅,2019-06-19,965,"9,218,262,910","1,092,738",액션,15세이상관람가
194,오빠생각,2016-01-21,855,"8,058,857,287","1,069,436",드라마,12세이상관람가
172,악녀,2017-06-08,685,"9,730,720,144","1,206,917",액션,청소년관람불가
196,그놈이다,2015-10-28,681,"8,098,811,152","1,046,313",스릴러,15세이상관람가
197,동창생,2013-11-06,660,"6,983,395,126","1,044,522",액션,15세이상관람가
198,염력,2018-01-31,"1,099","7,484,644,112","990,104",드라마,15세이상관람가
195,"날, 보러와요",2016-04-07,683,"8,821,335,063","1,061,412",미스터리,청소년관람불가
200,미쓰 와이프,2015-08-13,437,"7,357,162,869","984,265",코미디,15세이상관람가
201,"고산자, 대동여지도",2016-09-07,765,"7,777,473,258","971,194",사극,전체관람가
202,우리는 형제입니다,2014-10-23,566,"7,263,255,399","970,373",코미디,12세이상관람가
203,전국노래자랑,2013-05-01,581,"6,606,589,000","963,634",코미디,12세이상관람가
204,나랏말싸미,2019-07-24,"1,211","7,871,240,823","958,775",사극,전체관람가
205,허삼관,2015-01-14,621,"7,405,415,569","955,175",드라마,12세이상관람가
153,인간중독,2014-05-14,682,"11,284,787,400","1,441,964",멜로/로맨스,청소년관람불가
207,뽀로로 극장판 슈퍼썰매 대모험,2013-01-23,459,"6,819,979,500","929,985",애니메이션,전체관람가
208,더 킹,2017-01-18,"1,310","7,266,896,026","905,885",범죄,15세이상관람가
209,인랑,2018-07-25,"1,085","6,994,748,173","897,548",SF,15세이상관람가
210,결백,2020-06-10,"1,112","7,858,105,340","893,856",드라마,15세이상관람가
211,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,841,"7,046,110,380","893,221",애니메이션,전체관람가
212,극장판 헬로카봇 : 백악기 시대,2018-08-01,758,"6,542,619,500","874,967",애니메이션,전체관람가
213,열한시,2013-11-28,512,"6,097,792,000","870,785",스릴러,15세이상관람가
48,신세계,2013-02-21,671,"34,881,330,905","4,682,492",범죄,청소년관람불가
215,좋아해줘,2016-02-17,637,"6,572,774,337","848,148",멜로/로맨스,12세이상관람가
216,대립군,2017-05-31,809,"6,276,963,402","837,500",드라마,15세이상관람가
217,손님,2015-07-09,634,"6,385,295,880","827,918",판타지,15세이상관람가
218,뽀로로 극장판 공룡섬 대모험,2017-12-07,803,"6,203,897,300","824,079",애니메이션,전체관람가
219,남쪽으로 튀어,2013-02-06,428,"5,907,297,500","821,918",코미디,15세이상관람가
220,레드슈즈,2019-07-25,717,"6,102,923,190","817,547",애니메이션,전체관람가
221,카트,2014-11-13,544,"5,809,735,433","799,275",드라마,12세이상관람가
222,상의원,2014-12-24,466,"6,202,433,964","790,158",사극,15세이상관람가
214,살인의뢰,2015-03-12,646,"6,986,456,737","855,980",범죄,청소년관람불가
328,미옥,2017-11-09,635,"1,897,705,564","238,587",범죄,청소년관람불가
225,뽀로로 극장판 보물섬 대모험,2019-04-25,736,"5,886,268,900","766,758",애니메이션,전체관람가
226,레슬러,2018-05-09,957,"6,440,492,657","765,963",드라마,15세이상관람가
227,스플릿,2016-11-09,702,"6,097,721,539","757,430",드라마,15세이상관람가
199,방황하는 칼날,2014-04-10,594,"7,806,377,800","987,420",범죄,청소년관람불가
230,물괴,2018-09-12,"1,183","6,104,164,954","723,414",액션,15세이상관람가
231,미쓰백,2018-10-11,638,"6,027,243,066","720,558",드라마,15세이상관람가
232,국가대표 2,2016-08-10,562,"5,424,324,942","703,024",드라마,12세이상관람가
233,신비아파트: 금빛 도깨비와 비밀의 동굴,2018-07-25,762,"5,001,247,250","678,091",애니메이션,전체관람가
234,열정같은소리하고있네,2015-11-25,566,"4,761,399,902","654,407",드라마,15세이상관람가
235,그날의 분위기,2016-01-14,592,"5,142,899,612","652,453",멜로/로맨스,15세이상관람가
236,아빠는 딸,2017-04-12,520,"5,047,634,395","646,412",코미디,12세이상관람가
237,사냥,2016-06-29,696,"4,912,658,515","645,922",액션,15세이상관람가
238,나를 찾아줘,2019-11-27,875,"5,117,014,620","645,082",스릴러,15세이상관람가
239,광대들: 풍문조작단,2019-08-21,806,"5,226,776,088","637,021",사극,12세이상관람가
223,관능의 법칙,2014-02-13,591,"5,808,789,500","773,996",드라마,청소년관람불가
241,플랜맨,2014-01-09,458,"4,528,561,558","632,299",드라마,15세이상관람가
242,조선마술사,2015-12-30,608,"4,650,016,527","628,576",드라마,12세이상관람가
152,해무(海霧),2014-08-13,584,"11,631,310,219","1,466,830",드라마,청소년관람불가
244,특종: 량첸살인기,2015-10-22,776,"4,754,763,118","616,481",스릴러,15세이상관람가
245,서부전선,2015-09-24,509,"4,751,661,400","609,063",전쟁,12세이상관람가
246,미스터 주: 사라진 VIP,2020-01-22,692,"5,057,108,660","601,675",코미디,12세이상관람가
123,연애의 온도,2013-03-21,567,"13,798,864,446","1,865,195",멜로/로맨스,청소년관람불가
249,패션왕,2014-11-06,523,"4,338,223,379","591,125",코미디,15세이상관람가
250,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,889,"4,553,434,150","587,818",애니메이션,전체관람가
251,극장판 헬로카봇: 옴파로스 섬의 비밀,2019-01-31,752,"4,485,905,140","575,353",애니메이션,전체관람가
252,양자물리학,2019-09-25,799,"4,526,478,380","553,879",범죄,15세이상관람가
253,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,672,"4,293,073,300","550,059",애니메이션,전체관람가
149,차이나타운,2015-04-29,551,"11,989,400,678","1,472,006",범죄,청소년관람불가
255,침입자,2020-06-04,"1,365","4,806,336,000","531,214",미스터리,15세이상관람가
240,널 기다리며,2016-03-10,551,"5,232,611,336","634,953",스릴러,청소년관람불가
257,7년의 밤,2018-03-28,872,"3,969,337,524","528,007",스릴러,15세이상관람가
276,순수의 시대,2015-03-05,546,"3,702,353,828","465,492",사극,청소년관람불가
260,가려진 시간,2016-11-16,884,"3,946,462,400","510,878",드라마,12세이상관람가
261,남자사용설명서,2013-02-14,372,"3,602,049,257","507,257",코미디,15세이상관람가
262,캐치미,2013-12-18,517,"3,387,483,000","492,773",코미디,12세이상관람가
263,무서운 이야기 2,2013-06-05,337,"3,375,472,500","492,465",미스터리,15세이상관람가
264,또 하나의 약속,2014-02-06,192,"3,470,184,400","489,409",드라마,12세이상관람가
265,침묵,2017-11-02,634,"3,873,542,364","487,897",드라마,15세이상관람가
266,해어화,2016-04-13,572,"3,763,852,759","485,083",사극,15세이상관람가
267,계춘할망,2016-05-19,526,"3,589,317,348","480,987",가족,15세이상관람가
268,소녀괴담,2014-07-02,455,"3,546,340,054","480,528",미스터리,15세이상관람가
269,조선미녀삼총사,2014-01-29,388,"3,471,341,321","480,361",코미디,12세이상관람가
270,넛잡: 땅콩 도둑들,2014-01-29,382,"3,280,608,100","478,392",애니메이션,전체관람가
271,"로봇, 소리",2016-01-27,609,"3,519,595,560","476,665",드라마,12세이상관람가
272,변산,2018-07-04,763,"3,886,052,473","474,137",드라마,15세이상관람가
273,위험한 상견례 2,2015-04-29,429,"3,575,384,754","472,693",멜로/로맨스,15세이상관람가
365,나를 기억해,2018-04-19,545,"1,227,953,892","140,849",미스터리,청소년관람불가
275,마담 뺑덕,2014-10-02,536,"3,685,882,590","465,749",멜로/로맨스,청소년관람불가
340,언니,2019-01-01,530,"1,746,373,250","197,134",액션,청소년관람불가
277,동네사람들,2018-11-07,731,"3,797,676,112","459,020",액션,15세이상관람가
278,노브레싱,2013-10-30,584,"2,991,824,739","451,669",드라마,15세이상관람가
279,원더풀 고스트,2018-09-26,351,"3,720,931,600","450,374",코미디,12세이상관람가
280,반드시 잡는다,2017-11-29,565,"3,324,033,772","446,379",스릴러,15세이상관람가
281,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,544,"3,290,582,700","445,014",애니메이션,전체관람가
282,감쪽같은 그녀,2019-12-04,761,"3,377,895,790","436,257",드라마,전체관람가
283,원라인,2017-03-29,613,"3,310,122,433","433,825",범죄,15세이상관람가
284,"협녀, 칼의 기억",2015-08-13,572,"3,360,045,489","431,310",사극,15세이상관람가
258,몬스터,2014-03-13,527,"4,136,202,515","526,282",스릴러,청소년관람불가
286,오피스,2015-09-03,425,"3,354,086,230","428,429",스릴러,15세이상관람가
287,나를 잊지 말아요,2016-01-07,559,"3,398,915,000","425,799",멜로/로맨스,15세이상관람가
288,흥부: 글로 세상을 바꾼 자,2018-02-14,627,"3,381,050,200","416,303",사극,12세이상관람가
247,우는 남자,2014-06-04,508,"4,883,740,800","599,050",액션,청소년관람불가
290,극장판 공룡메카드: 타이니소어의 섬,2019-01-10,763,"3,140,214,420","410,131",애니메이션,전체관람가
291,넛잡 2,2017-10-03,526,"3,038,945,100","407,727",애니메이션,전체관람가
327,비밀은 없다,2016-06-23,502,"2,027,801,239","250,650",스릴러,청소년관람불가
293,내 심장을 쏴라,2015-01-28,452,"2,856,859,132","387,409",드라마,15세이상관람가
294,나의 독재자,2014-10-30,654,"2,906,692,546","385,934",드라마,15세이상관람가
295,보통사람,2017-03-23,621,"2,956,397,623","383,336",드라마,15세이상관람가
296,소수의견,2015-06-24,398,"2,891,431,205","383,332",드라마,15세이상관람가
297,대장 김창수,2017-10-19,748,"2,871,905,115","380,581",드라마,12세이상관람가
298,경성학교: 사라진 소녀들,2015-06-18,489,"2,749,027,700","356,342",미스터리,15세이상관람가
299,석조저택 살인사건,2017-05-09,539,"2,815,742,886","351,830",스릴러,15세이상관람가
300,싱글라이더,2017-02-22,576,"2,685,519,021","351,276",드라마,15세이상관람가
301,7호실,2017-11-15,629,"2,677,284,639","347,790",코미디,15세이상관람가
302,치외법권,2015-08-27,446,"2,664,941,005","346,483",액션,15세이상관람가
303,러브 유어셀프 인 서울,2019-01-26,224,"3,209,682,900","342,366",공연,전체관람가
229,더 파이브,2013-11-14,501,"5,343,797,000","731,212",스릴러,청소년관람불가
305,허스토리,2018-06-27,696,"2,521,025,949","336,822",드라마,12세이상관람가
306,브링 더 소울 : 더 무비,2019-08-07,569,"2,902,500,310","336,074",기타,전체관람가
307,미나문방구,2013-05-16,385,"2,247,017,000","334,323",드라마,전체관람가
